Ingredient;Dish;Recipe
1 trozo de jengibre de unos 2 cm;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
2 dientes de ajo;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
2 tallos de limoncillo;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
150 g de setas shiitake;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
300 g de zanahorias;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
200 g de tomates cherry;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
400 g de pechugas de pollo deshuesadas;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
4 cucharadas de aceite de coco;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
4 cucharaditas de pasta de curry roja;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
400 ml de leche de coco sin endulzar;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
500 ml de caldo de verduras;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
Sal;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
Pimienta;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
15 g de maicena;Sopa tailandesa al curry con pollo;Sopa tailandesa al curry con pollo
