Ingredient;Dish;Recipe
250 g de harina, y un poco mas para espolvorear;PARA LA MASA;Tarta de calabaza con hierbas y avellanas
120 g de mantequilla fria;PARA LA MASA;Tarta de calabaza con hierbas y avellanas
1 huevo;PARA LA MASA;Tarta de calabaza con hierbas y avellanas
Sal;PARA LA MASA;Tarta de calabaza con hierbas y avellanas
50 g de avellanas;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
450 g de calabaza hokkaido;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
1 cebolla;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
1 manojo de albahaca;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
1 manojo de perifollo;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
2 cucharadas de leche;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
150 ml de nata liquida;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
3 huevos;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
Sal;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
Pimienta;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
Aceite vegetal, para freir;PARA EL RELLENO;Tarta de calabaza con hierbas y avellanas
