Ingredient;Dish;Recipe
90 g de panceta entreverada;Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
3 cucharadas de aceite vegetal;Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
750 g de esparragos verdes;Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
2 patatas harinosas grandes (de 200 g);Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
2 cebollas (160 g);Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
1 litro de caldo de verduras caliente;Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
300 ml de nata liquida (min. 30 % M.G.);Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
2 cucharadas de maicena;Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
½ cucharadita de sal;Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
½ cucharadita de pimienta;Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
1 chorrito de zumo de limon;Crema de esparragos con panceta crujiente;Crema de esparragos con panceta crujiente
