Ingredient;Dish;Recipe
500 g de patatas pequenas para cocer;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
500 g de calabaza;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
1 cdta. de semillas de cilantro;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
1 cdta. de semillas de hinojo;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
1 cdta. de semillas de comino;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
½ cdta. de granos de mostaza negra;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
1 cebolla (50 g);Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
20 g de mantequilla;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
1 cdta. de curcuma;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
200 ml de leche de coco;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
Sal;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
1 cda. de tallos de cilantro recien picados;Curry de calabaza y patata con leche de coco;Curry de calabaza y patata con leche de coco
