Ingredient;Dish;Recipe
4 ramitas de perejil;Risotto de setas con parmesano;Risotto de setas con parmesano
90 g de parmesano;Risotto de setas con parmesano;Risotto de setas con parmesano
250 g de setas variadas;Risotto de setas con parmesano;Risotto de setas con parmesano
1 chalote;Risotto de setas con parmesano;Risotto de setas con parmesano
2 dientes de ajo;Risotto de setas con parmesano;Risotto de setas con parmesano
60 g de mantequilla;Risotto de setas con parmesano;Risotto de setas con parmesano
400 g de arroz para risotto (arborio);Risotto de setas con parmesano;Risotto de setas con parmesano
1,2 litros de caldo de pollo o verduras caliente;Risotto de setas con parmesano;Risotto de setas con parmesano
5 ramitas de tomillo;Risotto de setas con parmesano;Risotto de setas con parmesano
1 pizca de guindilla molida;Risotto de setas con parmesano;Risotto de setas con parmesano
El zumo de ½ limon;Risotto de setas con parmesano;Risotto de setas con parmesano
Sal y pimienta;Risotto de setas con parmesano;Risotto de setas con parmesano
