Ingredient;Dish;Recipe
40 g de queso parmesano (35 % M.G.);“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
1 manojo de perejil;“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
1 chalote (30 g);“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
1 diente de ajo;“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
3 cucharadas de aceite de oliva;“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
320 g de arroz arborio (tiempo de coccion: 15 minutos);“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
60 ml de vino blanco;“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
720 ml de caldo de verduras a temperatura ambiente;“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
½ cucharadita de sal;“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
3 pizcas de pimienta;“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
200 g de jamon cocido;“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
150 g de guisantes (congelados);“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
1 cucharada de mantequilla;“Risi e bisi” - Arroz con guisantes;“Risi e bisi” - Arroz con guisantes
